Product,Quantity Ordered,Price Each,Order Date,Purchase Address
USB-C Charging Cable,1,11.95,4/9/2019 8:49, San Francisco
Lightning Charging Cable,1,14.95,4/12/2019 16:47, Boston
iPhone,1,700,4/7/2019 13:14, Boston
LG Washing Machine,1,600,4/9/2019 20:04, New York City
AA Batteries (4-pack),1,3.84,4/26/2019 19:20, San Francisco
USB-C Charging Cable,1,11.95,4/15/2019 19:35, Seattle
Apple Airpods Headphones,1,150,4/11/2019 19:36, San Francisco
Google Phone,1,600,4/12/2019 16:42, New York City
ThinkPad Laptop,1,999.99,4/23/2019 10:16, Los Angeles
AAA Batteries (4-pack),2,2.99,4/22/2019 8:51, San Francisco
20in Monitor,1,109.99,4/29/2019 14:40, Dallas
AA Batteries (4-pack),1,3.84,4/16/2019 17:10, Boston
Wired Headphones,1,11.99,4/25/2019 20:40, Atlanta
34in Ultrawide Monitor,1,379.99,4/5/2019 12:46, Portland
Bose SoundSport Headphones,1,99.99,4/5/2019 11:48, Seattle
AAA Batteries (4-pack),1,2.99,4/13/2019 18:59, Los Angeles
ThinkPad Laptop,1,999.99,4/7/2019 14:15, Dallas
Wired Headphones,1,11.99,4/8/2019 16:50, Seattle
27in 4K Gaming Monitor,1,389.99,4/11/2019 0:39, Los Angeles
AA Batteries (4-pack),1,3.84,4/15/2019 20:46, Dallas
27in FHD Monitor,1,149.99,4/8/2019 12:57, Dallas
Apple Airpods Headphones,1,150,4/25/2019 21:23, San Francisco
AAA Batteries (4-pack),2,2.99,4/23/2019 16:31, New York City
Lightning Charging Cable,1,14.95,4/12/2019 11:07, New York City
USB-C Charging Cable,1,11.95,4/12/2019 11:07, New York City
20in Monitor,1,109.99,4/10/2019 8:17, Boston
AAA Batteries (4-pack),3,2.99,4/20/2019 20:53, Austin
AAA Batteries (4-pack),1,2.99,4/2/2019 9:02, Seattle
LG Dryer,1,600,4/9/2019 0:35, Los Angeles
34in Ultrawide Monitor,1,379.99,4/1/2019 11:50, Austin
AA Batteries (4-pack),2,3.84,4/19/2019 22:12, San Francisco
Apple Airpods Headphones,1,150,4/16/2019 11:12, Boston
USB-C Charging Cable,1,11.95,4/13/2019 11:28, Los Angeles
Apple Airpods Headphones,1,150,4/20/2019 10:39, Seattle
ThinkPad Laptop,1,999.99,4/20/2019 10:39, Seattle
Lightning Charging Cable,1,14.95,4/27/2019 6:19, Boston
AA Batteries (4-pack),1,3.84,4/3/2019 13:54, Los Angeles
USB-C Charging Cable,1,11.95,4/17/2019 0:51, Los Angeles
34in Ultrawide Monitor,1,379.99,4/23/2019 22:53, New York City
Wired Headphones,1,11.99,4/17/2019 15:17, Austin
Macbook Pro Laptop,1,1700,4/30/2019 10:26, Los Angeles
Flatscreen TV,1,300,4/20/2019 18:25, San Francisco
Bose SoundSport Headphones,1,99.99,4/24/2019 17:15, New York City
AAA Batteries (4-pack),2,2.99,4/24/2019 17:15, New York City
20in Monitor,1,109.99,4/4/2019 18:33, San Francisco
AAA Batteries (4-pack),1,2.99,4/12/2019 11:57, Los Angeles
Wired Headphones,1,11.99,4/8/2019 18:21, San Francisco
AA Batteries (4-pack),1,3.84,4/22/2019 9:00, San Francisco
USB-C Charging Cable,1,11.95,4/5/2019 20:46, Atlanta
AA Batteries (4-pack),2,3.84,4/12/2019 20:50, Seattle
iPhone,1,700,4/7/2019 12:41, New York City
Wired Headphones,1,11.99,4/20/2019 22:38, New York City
Bose SoundSport Headphones,1,99.99,4/2/2019 16:15, San Francisco
Bose SoundSport Headphones,1,99.99,4/28/2019 18:04, Boston
34in Ultrawide Monitor,1,379.99,4/7/2019 23:10, Dallas
USB-C Charging Cable,1,11.95,4/11/2019 13:05, Austin
AA Batteries (4-pack),1,3.84,4/23/2019 19:44, Seattle
20in Monitor,1,109.99,4/17/2019 10:00, New York City
AA Batteries (4-pack),2,3.84,4/17/2019 10:00, Seattle
Lightning Charging Cable,2,14.95,4/6/2019 9:38, Austin
Lightning Charging Cable,1,14.95,4/13/2019 13:32, New York City
Apple Airpods Headphones,1,150,4/13/2019 10:34, Portland
Wired Headphones,1,11.99,4/28/2019 23:03, New York City
AA Batteries (4-pack),1,3.84,4/24/2019 14:17, Dallas
20in Monitor,2,109.99,4/7/2019 10:00, Dallas
Flatscreen TV,1,300,4/30/2019 10:58, Dallas
Google Phone,1,600,4/20/2019 5:21, San Francisco
Wired Headphones,1,11.99,4/21/2019 10:48, San Francisco
USB-C Charging Cable,1,11.95,4/26/2019 23:34, Los Angeles
Apple Airpods Headphones,1,150,4/27/2019 16:43, San Francisco
Wired Headphones,1,11.99,4/24/2019 14:43, Los Angeles
Apple Airpods Headphones,1,150,4/19/2019 10:34, Atlanta
Lightning Charging Cable,1,14.95,4/22/2019 19:14, Los Angeles
Flatscreen TV,1,300,4/27/2019 13:07, Boston
Lightning Charging Cable,1,14.95,4/21/2019 10:35, Portland
AAA Batteries (4-pack),1,2.99,4/26/2019 21:08, San Francisco
27in 4K Gaming Monitor,1,389.99,4/1/2019 10:57, New York City
27in 4K Gaming Monitor,1,389.99,4/19/2019 21:31, Portland
Lightning Charging Cable,1,14.95,4/26/2019 20:59, San Francisco
AA Batteries (4-pack),2,3.84,4/15/2019 14:33, San Francisco
USB-C Charging Cable,1,11.95,4/13/2019 18:14, Los Angeles
Lightning Charging Cable,1,14.95,4/14/2019 14:26, Los Angeles
Lightning Charging Cable,1,14.95,4/21/2019 7:38, Atlanta
USB-C Charging Cable,1,11.95,4/24/2019 9:57, Seattle
Bose SoundSport Headphones,1,99.99,4/17/2019 8:27, New York City
AAA Batteries (4-pack),2,2.99,4/21/2019 16:17, San Francisco
iPhone,1,700,4/23/2019 9:33, Dallas
20in Monitor,1,109.99,4/11/2019 13:31, San Francisco
Apple Airpods Headphones,1,150,4/3/2019 22:13, New York City
27in FHD Monitor,1,149.99,4/16/2019 23:52, Austin
AA Batteries (4-pack),1,3.84,4/17/2019 11:48, Los Angeles
Apple Airpods Headphones,1,150,4/7/2019 1:28, Los Angeles
AA Batteries (4-pack),1,3.84,4/3/2019 13:17, San Francisco
34in Ultrawide Monitor,1,379.99,4/5/2019 17:38, Austin
Google Phone,1,600,4/5/2019 17:38, Austin
Bose SoundSport Headphones,1,99.99,4/24/2019 15:10, Dallas
USB-C Charging Cable,1,11.95,4/29/2019 18:49, San Francisco
Wired Headphones,1,11.99,4/17/2019 9:54, Los Angeles
27in 4K Gaming Monitor,1,389.99,4/1/2019 9:17, Atlanta
Lightning Charging Cable,1,14.95,4/14/2019 19:59, Los Angeles
Wired Headphones,1,11.99,4/24/2019 9:23, Los Angeles
27in 4K Gaming Monitor,1,389.99,4/8/2019 19:04, Seattle
Macbook Pro Laptop,1,1700,4/27/2019 15:04, San Francisco
Flatscreen TV,1,300,4/24/2019 15:28, Boston
ThinkPad Laptop,1,999.99,4/26/2019 7:55, Seattle
AA Batteries (4-pack),1,3.84,4/13/2019 23:52, Austin
AAA Batteries (4-pack),1,2.99,4/18/2019 13:01, San Francisco
AA Batteries (4-pack),1,3.84,4/13/2019 23:59, San Francisco
USB-C Charging Cable,1,11.95,4/1/2019 23:07, Atlanta
34in Ultrawide Monitor,1,379.99,4/2/2019 17:07, Los Angeles
27in 4K Gaming Monitor,1,389.99,4/9/2019 16:21, Seattle
27in FHD Monitor,1,149.99,4/5/2019 17:06, New York City
AA Batteries (4-pack),1,3.84,4/11/2019 20:28, Portland
34in Ultrawide Monitor,1,379.99,4/18/2019 21:26, San Francisco
Lightning Charging Cable,1,14.95,4/6/2019 12:46, Los Angeles
Wired Headphones,1,11.99,4/2/2019 20:32, San Francisco
Apple Airpods Headphones,1,150,4/26/2019 20:00, San Francisco
AA Batteries (4-pack),1,3.84,4/18/2019 14:06, Seattle
USB-C Charging Cable,1,11.95,4/25/2019 13:36, San Francisco
Wired Headphones,1,11.99,4/16/2019 19:52, Atlanta
USB-C Charging Cable,1,11.95,4/14/2019 20:44, San Francisco
AA Batteries (4-pack),2,3.84,4/21/2019 19:52, Boston
27in 4K Gaming Monitor,1,389.99,4/9/2019 14:18, Atlanta
Wired Headphones,1,11.99,4/4/2019 0:03, Los Angeles
AA Batteries (4-pack),1,3.84,4/29/2019 14:14, San Francisco
Wired Headphones,1,11.99,4/8/2019 17:38, San Francisco
Lightning Charging Cable,1,14.95,4/24/2019 17:40, New York City
AA Batteries (4-pack),1,3.84,4/10/2019 21:48, New York City
AAA Batteries (4-pack),2,2.99,4/25/2019 20:07, Portland
Lightning Charging Cable,1,14.95,4/25/2019 15:06, Los Angeles
USB-C Charging Cable,1,11.95,4/25/2019 15:06, Los Angeles
USB-C Charging Cable,2,11.95,4/1/2019 20:56, San Francisco
Bose SoundSport Headphones,1,99.99,4/24/2019 23:28, Seattle
Apple Airpods Headphones,1,150,4/14/2019 16:53, Portland
34in Ultrawide Monitor,1,379.99,4/12/2019 17:46, San Francisco
27in FHD Monitor,1,149.99,4/4/2019 16:46, Atlanta
Lightning Charging Cable,1,14.95,4/18/2019 23:51, New York City
iPhone,1,700,4/3/2019 7:37, Dallas
Lightning Charging Cable,1,14.95,4/3/2019 7:37, Dallas
Apple Airpods Headphones,1,150,4/22/2019 13:42, San Francisco
Apple Airpods Headphones,1,150,4/5/2019 11:40, San Francisco
AAA Batteries (4-pack),1,2.99,4/8/2019 10:14, Los Angeles
Bose SoundSport Headphones,1,99.99,4/3/2019 15:39, Los Angeles
20in Monitor,1,109.99,4/6/2019 16:40, San Francisco
Google Phone,1,600,4/14/2019 10:10, Los Angeles
Bose SoundSport Headphones,1,99.99,4/15/2019 4:39, New York City
Lightning Charging Cable,1,14.95,4/21/2019 20:15, San Francisco
AAA Batteries (4-pack),1,2.99,4/28/2019 12:07, Austin
Google Phone,1,600,4/21/2019 11:43, Los Angeles
27in 4K Gaming Monitor,1,389.99,4/30/2019 19:29, Atlanta
Wired Headphones,1,11.99,4/17/2019 17:09, San Francisco
Lightning Charging Cable,1,14.95,4/10/2019 21:40, Dallas
Wired Headphones,1,11.99,4/13/2019 11:46, San Francisco
Bose SoundSport Headphones,1,99.99,4/7/2019 8:44, Los Angeles
Google Phone,1,600,4/21/2019 8:54, Los Angeles
Bose SoundSport Headphones,1,99.99,4/21/2019 8:54, Los Angeles
Wired Headphones,1,11.99,4/21/2019 8:54, Los Angeles
iPhone,1,700,4/6/2019 10:31, Atlanta
Wired Headphones,1,11.99,4/3/2019 14:24, Portland
Lightning Charging Cable,1,14.95,4/9/2019 11:35, Atlanta
Vareebadd Phone,1,400,4/28/2019 18:52, San Francisco
AA Batteries (4-pack),1,3.84,4/29/2019 17:33, Boston
AA Batteries (4-pack),1,3.84,4/1/2019 23:00, Austin
Bose SoundSport Headphones,1,99.99,4/21/2019 21:56, Seattle
Google Phone,1,600,4/1/2019 15:50, Portland
USB-C Charging Cable,1,11.95,4/1/2019 15:50, Portland
Macbook Pro Laptop,1,1700,4/22/2019 13:26, Austin
USB-C Charging Cable,1,11.95,4/21/2019 17:13, Seattle
Google Phone,1,600,4/28/2019 18:03, San Francisco
Wired Headphones,1,11.99,4/28/2019 18:03, San Francisco
Bose SoundSport Headphones,2,99.99,4/19/2019 1:14, San Francisco
AAA Batteries (4-pack),1,2.99,4/30/2019 14:57, Atlanta
AA Batteries (4-pack),2,3.84,4/14/2019 23:02, Dallas
Wired Headphones,1,11.99,4/20/2019 16:40, New York City
Google Phone,1,600,4/28/2019 18:01, Atlanta
Wired Headphones,1,11.99,4/28/2019 18:01, Atlanta
Lightning Charging Cable,1,14.95,4/9/2019 12:09, New York City
AAA Batteries (4-pack),1,2.99,4/4/2019 13:36, San Francisco
27in 4K Gaming Monitor,1,389.99,4/19/2019 20:14, Portland
Lightning Charging Cable,1,14.95,4/26/2019 20:47, Seattle
Wired Headphones,1,11.99,4/9/2019 2:19, San Francisco
AA Batteries (4-pack),2,3.84,4/15/2019 5:44, Portland
USB-C Charging Cable,1,11.95,4/17/2019 12:10, Boston
34in Ultrawide Monitor,1,379.99,4/18/2019 15:08, San Francisco
AAA Batteries (4-pack),1,2.99,4/22/2019 19:50, Seattle
Wired Headphones,1,11.99,4/6/2019 20:18, Seattle
USB-C Charging Cable,2,11.95,4/3/2019 13:01, Los Angeles
LG Washing Machine,1,600,4/13/2019 22:31, San Francisco
Bose SoundSport Headphones,1,99.99,4/11/2019 0:15, San Francisco
AAA Batteries (4-pack),1,2.99,4/20/2019 13:36, Los Angeles
iPhone,1,700,4/7/2019 22:13, Seattle
Wired Headphones,1,11.99,4/30/2019 9:09, San Francisco
Wired Headphones,1,11.99,4/18/2019 12:02, Austin
USB-C Charging Cable,1,11.95,4/1/2019 7:39, San Francisco
Apple Airpods Headphones,1,150,4/19/2019 20:21, Los Angeles
Wired Headphones,1,11.99,4/21/2019 19:32, Boston
Lightning Charging Cable,1,14.95,4/15/2019 20:42, San Francisco
USB-C Charging Cable,1,11.95,4/23/2019 16:55, Boston
USB-C Charging Cable,2,11.95,4/10/2019 14:20, Boston
Lightning Charging Cable,1,14.95,4/10/2019 12:29, New York City
Lightning Charging Cable,1,14.95,4/5/2019 18:44, New York City
20in Monitor,1,109.99,4/10/2019 7:19, Boston
USB-C Charging Cable,1,11.95,4/2/2019 10:08, Austin
AAA Batteries (4-pack),3,2.99,4/26/2019 22:50, San Francisco
AA Batteries (4-pack),2,3.84,4/6/2019 23:16, New York City
34in Ultrawide Monitor,1,379.99,4/21/2019 11:22, Atlanta
AA Batteries (4-pack),1,3.84,4/23/2019 18:48, Boston
USB-C Charging Cable,1,11.95,4/15/2019 14:26, San Francisco
USB-C Charging Cable,1,11.95,4/19/2019 9:03, New York City
AA Batteries (4-pack),3,3.84,4/3/2019 16:00, Austin
27in FHD Monitor,1,149.99,4/28/2019 18:09, Boston
34in Ultrawide Monitor,1,379.99,4/22/2019 10:59, San Francisco
AA Batteries (4-pack),1,3.84,4/3/2019 12:40, Seattle
AA Batteries (4-pack),1,3.84,4/9/2019 22:58, San Francisco
AA Batteries (4-pack),1,3.84,4/9/2019 13:58, Portland
AA Batteries (4-pack),1,3.84,4/24/2019 11:41, New York City
AA Batteries (4-pack),1,3.84,4/11/2019 22:05, Los Angeles
Wired Headphones,1,11.99,4/21/2019 16:42, Los Angeles
Lightning Charging Cable,1,14.95,4/13/2019 10:59, San Francisco
Bose SoundSport Headphones,1,99.99,4/30/2019 7:18, Portland
AAA Batteries (4-pack),1,2.99,4/16/2019 13:25, Los Angeles
AA Batteries (4-pack),1,3.84,4/15/2019 10:53, New York City
USB-C Charging Cable,1,11.95,4/4/2019 11:00, San Francisco
Bose SoundSport Headphones,1,99.99,4/14/2019 13:01, Los Angeles
AAA Batteries (4-pack),1,2.99,4/29/2019 11:37, San Francisco
27in FHD Monitor,1,149.99,4/19/2019 17:18, New York City
AAA Batteries (4-pack),2,2.99,4/2/2019 15:47, San Francisco
AA Batteries (4-pack),1,3.84,4/18/2019 14:28, New York City
ThinkPad Laptop,1,999.99,4/2/2019 11:42, New York City
AAA Batteries (4-pack),1,2.99,4/25/2019 21:00, San Francisco
20in Monitor,1,109.99,4/5/2019 7:37, Boston
Apple Airpods Headphones,1,150,4/23/2019 18:33, Seattle
AAA Batteries (4-pack),3,2.99,4/5/2019 18:38, New York City
AA Batteries (4-pack),1,3.84,4/29/2019 20:02, Dallas
AA Batteries (4-pack),1,3.84,4/15/2019 12:17, Los Angeles
AA Batteries (4-pack),1,3.84,4/6/2019 5:26, Los Angeles
AAA Batteries (4-pack),1,2.99,4/15/2019 11:04, New York City
27in 4K Gaming Monitor,1,389.99,4/23/2019 19:26, San Francisco
Bose SoundSport Headphones,1,99.99,4/23/2019 21:15, Boston
Lightning Charging Cable,1,14.95,4/10/2019 15:48, San Francisco
ThinkPad Laptop,1,999.99,4/13/2019 9:15, San Francisco
Flatscreen TV,1,300,4/13/2019 14:15, Portland
27in FHD Monitor,1,149.99,4/4/2019 8:36, New York City
Wired Headphones,1,11.99,4/22/2019 20:59, San Francisco
Wired Headphones,1,11.99,4/24/2019 20:16, Boston
Wired Headphones,2,11.99,4/15/2019 9:24, New York City
USB-C Charging Cable,1,11.95,4/11/2019 9:04, San Francisco
34in Ultrawide Monitor,1,379.99,4/22/2019 21:26, Boston
Flatscreen TV,1,300,4/19/2019 20:44, San Francisco
AAA Batteries (4-pack),1,2.99,4/1/2019 12:59, Boston
Wired Headphones,1,11.99,4/15/2019 13:57, New York City
AAA Batteries (4-pack),1,2.99,4/17/2019 21:22, Boston
USB-C Charging Cable,1,11.95,4/25/2019 17:35, Austin
AAA Batteries (4-pack),1,2.99,4/7/2019 11:52, Portland
AAA Batteries (4-pack),1,2.99,4/12/2019 22:50, Boston
AAA Batteries (4-pack),1,2.99,4/23/2019 14:01, Seattle
Flatscreen TV,1,300,4/13/2019 17:23, San Francisco
Apple Airpods Headphones,1,150,4/24/2019 8:44, Boston
AAA Batteries (4-pack),2,2.99,4/24/2019 17:41, Dallas
Apple Airpods Headphones,1,150,4/2/2019 18:12, San Francisco
,,,,
Apple Airpods Headphones,1,150,4/18/2019 17:05, New York City
Lightning Charging Cable,1,14.95,4/5/2019 18:17, San Francisco
Bose SoundSport Headphones,1,99.99,4/21/2019 6:17, Boston
Lightning Charging Cable,1,14.95,4/22/2019 14:37, Atlanta
USB-C Charging Cable,1,11.95,4/11/2019 14:49, Atlanta
iPhone,1,700,4/9/2019 11:10, Boston
AAA Batteries (4-pack),1,2.99,4/13/2019 15:44, Boston
27in FHD Monitor,1,149.99,4/12/2019 7:40, New York City
27in FHD Monitor,1,149.99,4/7/2019 20:14, Los Angeles
27in FHD Monitor,1,149.99,4/11/2019 1:43, Los Angeles
AAA Batteries (4-pack),1,2.99,4/25/2019 20:53, Seattle
Wired Headphones,1,11.99,4/22/2019 9:53, Portland
AAA Batteries (4-pack),2,2.99,4/19/2019 14:46, Los Angeles
AAA Batteries (4-pack),1,2.99,4/12/2019 10:29, Los Angeles
Apple Airpods Headphones,1,150,4/25/2019 14:33, Seattle
AAA Batteries (4-pack),1,2.99,4/20/2019 19:09, Atlanta
Lightning Charging Cable,1,14.95,4/1/2019 15:54, San Francisco
AAA Batteries (4-pack),1,2.99,4/4/2019 19:18, Dallas
34in Ultrawide Monitor,1,379.99,4/18/2019 7:45, San Francisco
USB-C Charging Cable,1,11.95,4/14/2019 19:50, Boston
USB-C Charging Cable,1,11.95,4/10/2019 9:57, Los Angeles
AAA Batteries (4-pack),1,2.99,4/29/2019 7:02, Boston
Apple Airpods Headphones,1,150,4/30/2019 18:55, New York City
Lightning Charging Cable,1,14.95,4/24/2019 17:56, San Francisco
Bose SoundSport Headphones,1,99.99,4/2/2019 21:08, Los Angeles
LG Washing Machine,1,600,4/26/2019 12:48, Los Angeles
Bose SoundSport Headphones,1,99.99,4/14/2019 10:32, New York City
Lightning Charging Cable,1,14.95,4/18/2019 15:31, New York City
USB-C Charging Cable,1,11.95,4/14/2019 21:17, Atlanta
Wired Headphones,1,11.99,4/18/2019 18:40, Los Angeles
AAA Batteries (4-pack),1,2.99,4/8/2019 21:08, San Francisco
ThinkPad Laptop,1,999.99,4/11/2019 22:13, Dallas
USB-C Charging Cable,1,11.95,4/15/2019 9:41, Boston
ThinkPad Laptop,1,999.99,4/13/2019 8:47, New York City
34in Ultrawide Monitor,1,379.99,4/28/2019 17:02, Seattle
Flatscreen TV,1,300,4/24/2019 10:34, New York City
AAA Batteries (4-pack),1,2.99,4/8/2019 19:44, New York City
AAA Batteries (4-pack),1,2.99,4/3/2019 21:31, Dallas
27in FHD Monitor,1,149.99,4/3/2019 21:31, Dallas
Apple Airpods Headphones,1,150,4/15/2019 8:36, Boston
Google Phone,1,600,4/30/2019 22:04, Los Angeles
AAA Batteries (4-pack),1,2.99,4/29/2019 21:08, Los Angeles
AAA Batteries (4-pack),1,2.99,4/6/2019 12:50, San Francisco
Lightning Charging Cable,1,14.95,4/2/2019 23:59, Dallas
27in 4K Gaming Monitor,1,389.99,4/11/2019 18:46, San Francisco
AA Batteries (4-pack),1,3.84,4/12/2019 10:02, Portland
Lightning Charging Cable,1,14.95,4/9/2019 6:50, San Francisco
Bose SoundSport Headphones,1,99.99,4/28/2019 6:22, Austin
USB-C Charging Cable,1,11.95,4/24/2019 2:17, Austin
Lightning Charging Cable,1,14.95,4/27/2019 16:36, New York City
AA Batteries (4-pack),2,3.84,4/2/2019 18:40, Los Angeles
Wired Headphones,1,11.99,4/26/2019 9:46, San Francisco
USB-C Charging Cable,1,11.95,4/27/2019 12:54, Los Angeles
Lightning Charging Cable,1,14.95,4/4/2019 8:54, Dallas
USB-C Charging Cable,2,11.95,4/15/2019 21:57, Boston
AAA Batteries (4-pack),1,2.99,4/6/2019 18:47, Los Angeles
Flatscreen TV,1,300,4/29/2019 13:41, Dallas
Bose SoundSport Headphones,1,99.99,4/28/2019 14:49, San Francisco
AAA Batteries (4-pack),1,2.99,4/2/2019 16:08, San Francisco
AA Batteries (4-pack),1,3.84,4/1/2019 21:43, Dallas
Google Phone,1,600,4/6/2019 18:22, Boston
Bose SoundSport Headphones,1,99.99,4/23/2019 9:26, Boston
Wired Headphones,1,11.99,4/8/2019 18:32, Seattle
Bose SoundSport Headphones,1,99.99,4/8/2019 14:49, Dallas
27in FHD Monitor,1,149.99,4/16/2019 15:13, Portland
Wired Headphones,1,11.99,4/7/2019 11:19, San Francisco
AAA Batteries (4-pack),2,2.99,4/14/2019 13:17, Los Angeles
AAA Batteries (4-pack),1,2.99,4/5/2019 14:43, San Francisco
Lightning Charging Cable,1,14.95,4/8/2019 9:00, Boston
